Displacement:0,Displacement:1,Displacement:2,Points:0,Points:1,Points:2,vtkOriginalIndices
-1.41733e-08,-1.06984e-08,-2.85942e-09,-0.000803731,0.0207638,0.0477513,0
-7.42216e-06,-8.01871e-06,2.50248e-07,-0.000173051,0.0218636,0.0479452,1
-2.56118e-05,-2.31749e-05,-1.07558e-07,0.000521101,0.0229062,0.048129,2
-4.80618e-05,-3.72048e-05,1.28011e-06,0.00127518,0.0238862,0.0483018,3
-8.16648e-05,-5.20545e-05,7.29654e-07,0.00208533,0.0247987,0.0484627,4
-0.000106311,-6.88312e-05,6.41301e-06,0.00294741,0.025639,0.0486109,5
-0.000152921,-7.61596e-05,2.31943e-06,0.00385701,0.0264028,0.0487456,6
-0.000178627,-9.05902e-05,3.72366e-07,0.0048095,0.0270863,0.0488661,7
-0.000196084,-9.96597e-05,-4.60091e-06,0.00579999,0.0276858,0.0489718,8
-0.000202796,-0.000110918,6.50471e-06,0.00682344,0.0281984,0.0490622,9
-0.000196312,-0.000112144,3.10791e-05,0.0078746,0.0286214,0.0491368,10
-0.000117428,-0.000112798,1.82994e-05,0.00894811,0.0289526,0.0491952,11
-8.28695e-05,-0.000121583,3.50015e-05,0.0100385,0.0291905,0.0492371,12
-1.89557e-05,-0.000104542,1.99095e-05,0.0111401,0.0293337,0.0492624,13
1.34842e-05,-8.65137e-05,1.15337e-05,0.0122475,0.0293815,0.0492708,14
-2.03722e-06,-8.57466e-05,-2.3997e-05,0.0122475,0.0295457,0.0481429,15
-7.73327e-07,-0.000112601,-6.1285e-05,0.0122475,0.0296419,0.0470073,16
9.47974e-06,-0.000108963,-0.000105672,0.0122475,0.0296699,0.0458679,17
-4.92271e-07,-0.000112597,-0.000138379,0.0122475,0.0296295,0.0447288,18
7.65909e-06,-0.000143188,-0.000175916,0.0122475,0.0295209,0.0435943,19
-8.36305e-06,-0.000158307,-0.000197864,0.0122475,0.0293444,0.0424683,20
-1.2193e-06,-0.00017301,-0.000215218,0.0122475,0.0291007,0.0413549,21
4.47832e-06,-0.000169106,-0.00022208,0.0122475,0.0287908,0.0402581,22
1.71131e-07,-0.000156857,-0.000246029,0.0122475,0.0284156,0.0391819,23
-2.91024e-06,-0.000127386,-0.000233887,0.0122475,0.0279766,0.0381301,24
-4.23935e-08,-0.000107583,-0.000227272,0.0122475,0.0274753,0.0371065,25
1.24674e-06,-7.79958e-05,-0.00020623,0.0122475,0.0269135,0.0361148,26
2.60503e-06,-5.63247e-05,-0.000150351,0.0122475,0.0262932,0.0351586,27
5.61009e-06,-1.85778e-05,-0.000113953,0.0122475,0.0256168,0.0342413,28
1.14363e-06,-2.08322e-06,-5.64302e-05,0.0122475,0.0248866,0.0333662,29
7.32464e-10,-1.9522e-08,-4.09894e-08,0.0122475,0.0241052,0.0325365,30
-3.41788e-09,-1.82148e-08,-4.32907e-08,0.0111666,0.0240725,0.0325692,31
-4.96427e-09,-1.73603e-08,-4.28731e-08,0.0100909,0.0239745,0.0326672,32
-5.05752e-09,-1.76521e-08,-3.28201e-08,0.00902578,0.0238117,0.0328299,33
-6.82646e-09,-1.76497e-08,-2.9496e-08,0.00797633,0.023585,0.0330567,34
-1.09125e-08,-1.62843e-08,-3.26302e-08,0.00694768,0.0232954,0.0333463,35
-1.0483e-08,-1.46176e-08,-2.88192e-08,0.00594483,0.0229443,0.0336974,36
-1.00889e-08,-1.42389e-08,-2.40655e-08,0.00497267,0.0225334,0.0341082,37
-1.21525e-08,-1.41526e-08,-2.37228e-08,0.00403594,0.0220648,0.0345768,38
-1.49061e-08,-1.2859e-08,-2.17302e-08,0.00313918,0.0215407,0.0351009,39
-1.28248e-08,-1.31134e-08,-1.54039e-08,0.00228678,0.0209637,0.035678,40
-1.25516e-08,-1.22656e-08,-1.59462e-08,0.00148287,0.0203365,0.0363051,41
-1.52681e-08,-1.11797e-08,-1.39807e-08,0.000731378,0.0196623,0.0369793,42
-1.12623e-08,-7.99145e-09,-1.1057e-08,3.5958e-05,0.0189443,0.0376973,43
-1.14927e-08,-7.44217e-09,-9.3213e-09,-0.000600004,0.0181861,0.0384556,44
-1.16128e-08,-6.86559e-09,-7.94803e-09,-0.00117341,0.0173912,0.0392505,45
-1.22909e-08,-7.2019e-09,-7.49022e-09,-0.00135083,0.0178201,0.040313,46
-1.30729e-08,-7.73638e-09,-6.84949e-09,-0.00146404,0.0182495,0.0413835,47
-1.32064e-08,-8.23101e-09,-6.19115e-09,-0.00151312,0.0186781,0.0424584,48
-1.40312e-08,-8.59867e-09,-5.44443e-09,-0.00149841,0.0191027,0.0435282,49
-1.43358e-08,-8.97936e-09,-4.79061e-09,-0.00142064,0.0195234,0.0445925,50
-1.457e-08,-9.47526e-09,-4.09115e-09,-0.00127973,0.0199404,0.0456513,51
