Displacement:0,Displacement:1,Displacement:2,Points:0,Points:1,Points:2,vtkOriginalIndices
-0.000205682,-0.000132308,-0.000129813,0.00586681,0.0271841,0.0407647,70
-0.000191203,-0.0001172,-9.97403e-05,0.00502289,0.0267019,0.0409167,71
-0.000173678,-9.96059e-05,-6.2609e-05,0.00420551,0.0261609,0.0410873,72
-0.000151121,-9.52078e-05,-4.01326e-05,0.00341766,0.0255629,0.0412758,73
-0.000123467,-8.33276e-05,-2.71518e-05,0.00266223,0.0249103,0.0414816,74
-9.05617e-05,-5.79162e-05,-1.21423e-05,0.00194201,0.0242054,0.0417039,75
-5.88617e-05,-4.89426e-05,-5.48541e-06,0.00125964,0.0234507,0.0419418,76
-4.13244e-05,-3.79601e-05,-2.5118e-06,0.000617619,0.0226492,0.0421945,77
-2.58695e-05,-2.61295e-05,2.18536e-07,1.8308e-05,0.0218036,0.0424611,78
-1.33827e-05,-1.42484e-05,3.93464e-07,-0.000536089,0.0209171,0.0427406,79
-2.8391e-06,-3.60159e-06,1.44655e-06,-0.00104354,0.0199931,0.043032,80
-3.7878e-05,-0.000151903,-0.000271232,0.0113078,0.0284457,0.0393607,81
-8.77612e-05,-0.000166721,-0.000251815,0.0103715,0.0283457,0.0393922,82
-0.000119208,-0.000169109,-0.000236405,0.0094422,0.0281794,0.0394447,83
-0.000154206,-0.000157947,-0.000211879,0.00852319,0.0279475,0.0395178,84
-0.000187701,-0.00014751,-0.000194232,0.00761788,0.0276508,0.0396114,85
-0.000199637,-0.00013662,-0.000157451,0.0067296,0.0272903,0.0397251,86
-0.000189643,-0.000113554,-0.000135398,0.00586162,0.0268674,0.0398584,87
-0.000167156,-0.000108248,-9.80815e-05,0.00501713,0.0263837,0.040011,88
-0.000152347,-8.72557e-05,-5.95235e-05,0.00419925,0.0258409,0.0401822,89
-0.000128408,-8.36152e-05,-3.57438e-05,0.00341097,0.0252409,0.0403714,90
-0.000106328,-7.14411e-05,-2.47808e-05,0.0026552,0.0245859,0.040578,91
-8.76081e-05,-4.93625e-05,-1.69756e-05,0.00193472,0.0238783,0.0408012,92
-5.28418e-05,-4.55629e-05,-6.75329e-06,0.00125218,0.0231207,0.0410401,93
-3.6809e-05,-3.41789e-05,-2.76965e-06,0.00061009,0.0223158,0.041294,94
-2.31752e-05,-2.27981e-05,8.84132e-07,1.081e-05,0.0214663,0.041562,95
-1.05075e-05,-1.17552e-05,3.12695e-07,-0.000543449,0.0205754,0.0418432,96
-1.60376e-06,-1.90886e-06,7.02125e-07,-0.00105066,0.019646,0.0421365,97
-3.8555e-05,-0.000140002,-0.000260194,0.0113121,0.0280888,0.0384697,98
-7.44908e-05,-0.00014165,-0.000240439,0.0103802,0.0279893,0.0385011,99
-0.000107372,-0.000137046,-0.000225221,0.00945505,0.0278239,0.0385532,100
-0.000132125,-0.000133278,-0.00019739,0.0085401,0.0275932,0.0386261,101
-0.000161553,-0.000125502,-0.000181206,0.00763867,0.0272981,0.0387194,102
-0.000176103,-0.000117967,-0.000147398,0.00675403,0.0269394,0.0388327,103
-0.000176297,-0.000105656,-0.000134329,0.00588942,0.0265185,0.0389655,104
-0.000156815,-9.31614e-05,-9.75681e-05,0.00504798,0.0260369,0.0391175,105
-0.000134336,-8.19482e-05,-5.52075e-05,0.00423278,0.0254962,0.0392883,106
-0.000112234,-7.63272e-05,-3.26299e-05,0.0034468,0.0248983,0.0394772,107
-9.27772e-05,-6.57469e-05,-2.21697e-05,0.00269289,0.0242453,0.0396837,108
-7.67556e-05,-4.82672e-05,-1.2194e-05,0.00197381,0.0235394,0.0399069,109
-4.66155e-05,-4.078e-05,-4.78038e-06,0.00129217,0.0227829,0.040146,110
-3.23573e-05,-3.06708e-05,-2.68234e-06,0.000650465,0.0219783,0.0404006,111
-1.79591e-05,-1.92678e-05,1.14632e-06,5.10301e-05,0.0211281,0.0406699,112
-9.71751e-06,-1.19588e-05,4.83341e-07,-0.000503951,0.0202351,0.0409531,113
-2.30654e-06,-2.22462e-06,1.7414e-06,-0.00101246,0.0193016,0.0412497,114
-3.88519e-05,-0.000134698,-0.000236598,0.0113212,0.0276876,0.0375978,115
-7.8292e-05,-0.000126275,-0.00022906,0.0103983,0.0275894,0.0376288,116
-0.000108944,-0.00012446,-0.000206664,0.00948197,0.0274262,0.0376804,117
-0.000128388,-0.000115014,-0.000184033,0.00857554,0.0271985,0.0377525,118
-0.00014455,-0.000110917,-0.000164922,0.00768223,0.0269071,0.0378449,119
-0.000154527,-9.79676e-05,-0.000132812,0.00680524,0.026553,0.0379572,120
-0.000154949,-9.30936e-05,-0.000115354,0.00594769,0.0261372,0.038089,121
-0.00013951,-8.94106e-05,-8.69666e-05,0.00511267,0.025661,0.0382398,122
-0.000120028,-7.44955e-05,-4.92249e-05,0.00430315,0.0251262,0.0384094,123
-9.99969e-05,-6.76788e-05,-2.96634e-05,0.00352202,0.0245344,0.0385972,124
-8.37404e-05,-4.87763e-05,-2.18347e-05,0.00277208,0.0238874,0.0388027,125
-5.76104e-05,-4.33124e-05,-6.96695e-06,0.00205601,0.0231873,0.0390255,126
-3.83056e-05,-3.43095e-05,-3.34197e-06,0.00137636,0.022436,0.0392648,127
-2.8218e-05,-2.61193e-05,-3.35351e-06,0.000735571,0.0216357,0.0395201,128
-1.42251e-05,-1.55074e-05,1.69341e-07,0.000135929,0.0207885,0.039791,129
-6.44655e-06,-7.54737e-06,-1.49207e-07,-0.000420431,0.0198963,0.0400774,130
-1.34343e-06,-1.84206e-06,-2.34835e-08,-0.00093151,0.018961,0.0403791,131
-4.50815e-05,-0.000113808,-0.000211946,0.0113345,0.0272431,0.0367473,132
-7.59966e-05,-0.000112505,-0.000208554,0.0104247,0.0271469,0.0367778,133
-9.62105e-05,-0.00010394,-0.000185047,0.00952119,0.026987,0.0368286,134
-0.000113992,-8.99593e-05,-0.00016617,0.00862719,0.0267638,0.0368997,135
-0.000121494,-8.16214e-05,-0.000150138,0.00774575,0.0264781,0.0369907,136
