Displacement:0,Displacement:1,Displacement:2,Points:0,Points:1,Points:2,vtkOriginalIndices
-1.27814e-08,-1.10643e-08,-3.28882e-09,-0.000803731,0.0207638,0.0477513,0
-7.06197e-06,-7.01692e-06,4.42329e-06,9.71847e-05,0.0222878,0.04802,1
-4.01851e-05,-2.82381e-05,-2.0071e-08,0.00111975,0.0236954,0.0482682,2
-6.62436e-05,-4.50311e-05,7.55674e-06,0.00225373,0.0249727,0.0484934,3
-9.88598e-05,-5.99387e-05,5.00441e-06,0.00348776,0.0261067,0.0486934,4
-0.000127819,-6.58999e-05,8.21082e-06,0.0048095,0.0270863,0.0488661,5
-0.000149733,-7.15695e-05,4.64221e-06,0.0062057,0.0279014,0.0490098,6
-0.000145285,-7.00734e-05,2.26638e-05,0.0076624,0.028544,0.0491231,7
-0.000132593,-8.24249e-05,1.96203e-05,0.00916501,0.0290077,0.0492049,8
-0.000106477,-5.598e-05,2.14217e-05,0.0106985,0.0292878,0.0492543,9
-2.66744e-05,-8.65214e-05,2.31602e-05,0.0122475,0.0293815,0.0492708,10
-2.96085e-06,-0.000122805,-3.8528e-05,0.0122475,0.0295979,0.0476275,11
1.36026e-05,-9.15457e-05,-9.61653e-05,0.0122475,0.0296702,0.0459715,12
2.29755e-05,-0.000144952,-0.000166069,0.0122475,0.0295979,0.0443155,13
1.94376e-05,-0.000162032,-0.000164517,0.0122475,0.0293815,0.0426722,14
1.13065e-05,-0.000140506,-0.00018436,0.0122475,0.0290227,0.0410539,15
8.49176e-06,-0.00013318,-0.000197935,0.0122475,0.0285243,0.0394731,16
6.59182e-06,-0.000111946,-0.00018373,0.0122475,0.02789,0.0379417,17
-3.51512e-06,-6.47935e-05,-0.000154551,0.0122475,0.0271246,0.0364715,18
-3.46535e-06,-2.88676e-05,-0.000108501,0.0122475,0.026234,0.0350735,19
-2.32384e-05,6.15413e-06,-4.6109e-05,0.0122475,0.025225,0.0337585,20
3.32905e-09,-1.66369e-08,-5.81027e-08,0.0122475,0.0241052,0.0325365,21
-4.96849e-09,-1.71835e-08,-4.08003e-08,0.0106278,0.0240316,0.03261,22
-4.83283e-09,-1.61412e-08,-3.85537e-08,0.00902578,0.0238117,0.0328299,23
-8.33152e-09,-1.70308e-08,-3.88556e-08,0.00745909,0.023448,0.0331937,24
-1.67362e-08,-1.55094e-08,-3.28398e-08,0.00594483,0.0229443,0.0336974,25
-1.76714e-08,-1.48e-08,-2.33633e-08,0.00449959,0.0223062,0.0343354,26
-1.99722e-08,-1.00954e-08,-2.11578e-08,0.00313918,0.0215407,0.0351009,27
-1.30112e-08,-1.16302e-08,-1.54684e-08,0.00187851,0.0206562,0.0359855,28
-1.127e-08,-9.20065e-09,-1.29419e-08,0.000731378,0.0196623,0.0369793,29
-1.08814e-08,-7.00476e-09,-1.00028e-08,-0.000289656,0.01857,0.0380716,30
-1.06357e-08,-6.54086e-09,-7.72698e-09,-0.00117341,0.0173912,0.0392505,31
-1.13582e-08,-6.85286e-09,-7.20624e-09,-0.00139568,0.0179632,0.0406689,32
-1.13224e-08,-7.78342e-09,-6.436e-09,-0.00150391,0.0185357,0.0421005,33
-1.33181e-08,-7.96872e-09,-6.1594e-09,-0.00149841,0.0191027,0.0435282,34
-1.34589e-08,-8.41822e-09,-5.31096e-09,-0.00138071,0.0196628,0.0449461,35
-1.24755e-08,-9.98531e-09,-4.10274e-09,-0.00115027,0.0202164,0.0463539,36
-4.57463e-05,-0.000137181,-0.000193085,0.0105604,0.0286831,0.040292,37
-0.000108216,-0.000142469,-0.000158834,0.00889348,0.0283614,0.0403935,38
-0.000155097,-0.000110321,-0.000122865,0.00726637,0.0278295,0.0405612,39
-0.000147958,-0.000100001,-8.83388e-05,0.00569844,0.0270938,0.0407932,40
-0.000128021,-7.58381e-05,-4.45508e-05,0.00420832,0.0261629,0.0410867,41
-8.02579e-05,-5.91936e-05,-1.96772e-05,0.00281372,0.0250479,0.0414382,42
-5.58801e-05,-4.52226e-05,-6.04986e-06,0.00153121,0.0237621,0.0418436,43
-2.93823e-05,-2.69886e-05,3.09362e-06,0.000376025,0.0223207,0.0422981,44
-7.86354e-06,-9.76275e-06,4.1567e-07,-0.000638109,0.020741,0.0427962,45
-4.78577e-05,-0.000108167,-0.000192478,0.0105642,0.0281162,0.0387344,46
-9.34333e-05,-0.000105151,-0.000144089,0.00890078,0.0277947,0.0388358,47
-0.000138248,-9.17271e-05,-0.000124971,0.00727699,0.027263,0.0390036,48
-0.000126345,-8.59242e-05,-8.89654e-05,0.00571199,0.0265272,0.0392358,49
-0.000104798,-6.89623e-05,-4.04529e-05,0.00422431,0.0255958,0.0395298,50
-7.3653e-05,-5.69331e-05,-2.7249e-05,0.00283153,0.0244794,0.0398823,51
-4.38205e-05,-3.47904e-05,-6.55556e-06,0.00155013,0.0231906,0.0402893,52
-2.13601e-05,-1.9255e-05,3.65537e-07,0.000395278,0.0217435,0.0407467,53
-4.97301e-06,-7.01463e-06,4.9433e-07,-0.000619381,0.0201536,0.0412498,54
-4.66738e-05,-8.20174e-05,-0.000170572,0.0105935,0.0274183,0.0372314,55
-7.16318e-05,-7.26579e-05,-0.000127944,0.00895837,0.0271044,0.0373309,56
-9.87682e-05,-6.72189e-05,-9.53387e-05,0.00736083,0.0265849,0.0374958,57
-9.91443e-05,-7.09018e-05,-7.70573e-05,0.00581909,0.0258652,0.0377244,58
-8.70363e-05,-6.00542e-05,-3.35714e-05,0.00435077,0.0249526,0.0380148,59
-6.47363e-05,-5.65597e-05,-3.03224e-05,0.00297263,0.023856,0.0383643,60
-3.59928e-05,-2.9231e-05,-3.12888e-06,0.0017004,0.0225859,0.0387701,61
-1.901e-05,-1.72456e-05,2.33222e-06,0.000548609,0.0211531,0.0392298,62
-4.17554e-06,-4.15239e-06,2.50746e-06,-0.000469581,0.0195687,0.0397422,63
-3.53324e-05,-5.55406e-05,-0.000130227,0.0105409,0.0265808,0.0357993,64
-5.21942e-05,-3.47206e-05,-8.38088e-05,0.00885508,0.0262408,0.0359087,65
-4.19013e-05,-4.64187e-05,-7.21032e-05,0.00721051,0.025678,0.0360902,66
-4.27082e-05,-3.75893e-05,-5.16709e-05,0.0056272,0.0248976,0.0363424,67
-2.31491e-05,-3.23333e-05,-3.22684e-05,0.00412438,0.023907,0.0366638,68
-3.05697e-05,-3.25913e-05,-2.78717e-05,0.00272033,0.0227148,0.0370532,69
-1.0547e-05,-7.20056e-06,-2.26513e-06,0.00143213,0.0213301,0.0375099,70
-3.07426e-06,-1.14278e-06,2.47987e-06,0.000275444,0.0197613,0.0380356,71
-2.56124e-05,3.94691e-06,-7.70803e-05,0.010578,0.0256325,0.0344415,72
-2.68261e-05,-1.68787e-05,-4.80409e-05,0.00892805,0.0252996,0.0345513,73
-2.62821e-05,-2.37203e-06,-5.06146e-05,0.00731669,0.024748,0.0347341,74
-1.75235e-05,-5.40811e-06,-3.40144e-05,0.00576268,0.023982,0.0349895,75
-1.2032e-05,-8.82213e-07,-2.56203e-05,0.00428412,0.023007,0.0353173,76
-7.21788e-05,-0.000159271,-0.000173851,0.0105843,0.0291147,0.0418923,77
-0.000160455,-0.000124147,-0.000160492,0.00894027,0.0288008,0.0419913,78
-0.00018846,-0.000115264,-0.000114997,0.00733447,0.0282816,0.0421549,79
-0.000177972,-0.000111855,-8.07774e-05,0.0057854,0.0275628,0.0423813,80
-0.0001665,-7.90571e-05,-4.1235e-05,0.00431096,0.0266525,0.042668,81
-0.000107976,-6.49027e-05,-1.53196e-05,0.00292817,0.0255609,0.0430116,82
-5.95511e-05,-4.87549e-05,-5.51563e-06,0.00165298,0.0242999,0.0434085,83
-3.14802e-05,-2.78983e-05,1.83038e-06,0.000500143,0.022883,0.0438542,84
-9.96148e-06,-9.84988e-06,1.57683e-06,-0.00051705,0.0213248,0.0443439,85
-7.08531e-05,-0.00015679,-0.000139168,0.010633,0.0294075,0.0435231,86
-0.000141431,-0.000130246,-0.000121481,0.00903608,0.0291081,0.043617,87
-0.000181491,-0.000125594,-9.3588e-05,0.00747411,0.0286124,0.0437722,88
-0.000186756,-0.000118913,-5.97686e-05,0.00596407,0.0279251,0.043987,89
-0.000170398,-9.49136e-05,-2.83751e-05,0.0045224,0.0270529,0.0442599,90
-0.000126736,-7.29237e-05,-1.2398e-05,0.00316476,0.0260038,0.0445874,91
-7.88425e-05,-5.51518e-05,-1.31037e-06,0.00190593,0.024787,0.0449661,92
-4.25063e-05,-3.35556e-05,4.56066e-06,0.000759605,0.0234121,0.045392,93
-9.97502e-06,-1.12948e-05,1.97923e-06,-0.000261743,0.0218886,0.0458612,94
-3.8834e-05,-0.000167175,-8.9553e-05,0.0105397,0.0295378,0.0451781,95
-0.000114205,-0.00012182,-8.07091e-05,0.00885276,0.0291961,0.0452836,96
-0.000162608,-0.000113168,-4.99771e-05,0.00720715,0.0286301,0.0454581,97
-0.000175624,-0.000111929,-1.96614e-05,0.00562291,0.0278452,0.0456994,98
-0.000161666,-8.85141e-05,-3.92144e-06,0.00411933,0.026848,0.0460047,99
-0.000106958,-6.31614e-05,-2.48511e-06,0.00271472,0.0256465,0.04637,100
-5.33957e-05,-4.1578e-05,3.57189e-06,0.00142619,0.0242484,0.0467907,101
-7.15866e-05,-0.000112272,-2.29145e-05,0.0105788,0.02954,0.0468342,102
-0.000128494,-0.000100661,-2.06807e-05,0.00892952,0.0292047,0.0469351,103
-0.000139664,-0.000110199,-3.81143e-06,0.00731882,0.0286485,0.0471016,104
-0.000162552,-8.58485e-05,-5.79264e-06,0.00576541,0.0278751,0.0473316,105
-0.000141777,-7.32463e-05,6.28014e-06,0.00428734,0.0268893,0.0476221,106
