Displacement:0,Displacement:1,Displacement:2,Points:0,Points:1,Points:2,vtkOriginalIndices
-8.47193e-09,-8.8183e-09,-2.27328e-09,-0.000803731,0.0207638,0.0477513,0
-2.07818e-05,-1.61862e-05,-5.51364e-06,0.0016735,0.0243512,0.0483838,1
-8.21982e-05,-3.91275e-05,-2.37835e-05,0.0048095,0.0270863,0.0488661,2
-4.97913e-05,-6.18121e-05,-4.07874e-05,0.0084089,0.0287986,0.049168,3
3.12173e-06,-2.86885e-05,-5.4203e-05,0.0122475,0.0293815,0.0492708,4
2.3285e-05,-5.55242e-05,-6.01392e-05,0.0122475,0.0296295,0.0447288,5
4.47283e-06,-4.79196e-05,-4.50817e-05,0.0122475,0.0287908,0.0402581,6
2.01246e-06,-2.52951e-05,-4.87617e-05,0.0122475,0.0269135,0.0361148,7
-5.62882e-09,-1.52186e-08,-3.18483e-08,0.0122475,0.0241052,0.0325365,8
-7.68846e-09,-1.44649e-08,-2.86765e-08,0.00823694,0.0236476,0.032994,9
-1.25839e-08,-1.04965e-08,-1.49888e-08,0.00449959,0.0223062,0.0343354,10
-9.35265e-09,-5.28504e-09,-9.33745e-09,0.00128994,0.0201723,0.0364694,11
-6.47898e-09,-4.67787e-09,-5.25134e-09,-0.00117341,0.0173912,0.0392505,12
-8.06954e-09,-5.52608e-09,-4.4324e-09,-0.00149841,0.0191027,0.0435282,13
-6.17851e-05,-3.92168e-05,-6.729e-05,0.00808111,0.0281238,0.0404684,14
-5.20789e-05,-3.45352e-05,-3.53254e-05,0.00422145,0.0261722,0.0410837,15
-8.93421e-06,-1.00893e-05,-5.1879e-06,0.000952562,0.0230795,0.0420589,16
-2.78992e-05,-1.31676e-05,-9.61362e-06,0.00823688,0.0262789,0.0363177,17
-4.50946e-05,-3.29473e-05,-1.89892e-05,0.00449947,0.0244119,0.0369185,18
-5.70746e-05,-3.5795e-05,-7.33743e-05,0.00838329,0.0290397,0.0449119,19
-6.9601e-05,-4.8533e-05,-3.42048e-05,0.00476314,0.0273001,0.0454496,20
-4.07975e-09,-3.70067e-08,-7.27978e-09,0.0122476,0.0271702,0.0479715,21
8.3982e-09,-3.65099e-08,-7.5401e-09,0.015954,0.0267485,0.0479715,22
8.35355e-09,-2.78622e-08,-4.76678e-09,0.0194709,0.0255051,0.0479715,23
1.20233e-08,-1.77385e-08,-2.96104e-09,0.0226186,0.0235034,0.0479715,24
9.44671e-09,-7.7529e-09,-2.15117e-09,0.0252363,0.0208459,0.0479715,25
5.90285e-09,-8.64113e-09,-4.56479e-10,0.0248912,0.020721,0.0522633,26
6.74905e-09,-3.55428e-09,5.21215e-10,0.0261484,0.0176042,0.0550504,27
4.02052e-09,-1.42553e-09,5.18809e-10,0.0273251,0.01342,0.0557507,28
6.54151e-09,-3.32107e-09,1.40365e-09,0.0256075,0.0162702,0.0580254,29
